symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1160,1163.15,gainer,1159.25,1161.5685,198898.65000000002,198628.2135,396.4635000000126,1156.9315,1164.1,1159.25,success
HINDUNILVR,2018-01-01,1362.25,1367,gainer,1361.25,1363.9725,199582.0,199139.98500000002,397.48500000001513,1358.5275,1367,1361.25,success
RELIANCE,2018-01-01,920.15,922.5,gainer,921.05,922.8920999999999,199260.0,198548.9064,-397.89359999998123,919.2079,922.7,919.15,failure
AXISBANK,2018-01-01,562.05,563.8,gainer,560.5,561.621,199585.19999999998,198813.834,396.83400000000256,559.379,563.8,560.5,success
INFY,2018-01-01,1041.25,1037.4,loser,1037.9,1035.8242,199180.80000000002,199675.35360000003,-398.55360000001383,1039.9758000000002,1041,1036.15,failure
BHARTIARTL,2018-01-01,529.45,531.6,gainer,531,532.062,199881.6,200055.312,399.31200000000536,529.938,533.15,530.7,success
TATASTEEL,2018-01-01,731,732.9,gainer,730.45,731.9109000000001,199348.8,199079.76480000003,397.3648000000103,728.9891,732.9,730.45,success
BPCL,2018-01-01,517.5,519.55,gainer,517.5,518.535,199507.19999999998,199117.44,397.4400000000023,516.465,519.6,517.5,success
POWERGRID,2018-01-01,200.3,199.85,loser,200.05,199.6499,199850.0,199649.9,400.1000000000058,200.45010000000002,200.05,199.4,success
KOTAKBANK,2018-01-01,1009.5,1011.8,gainer,1006.05,1008.0621,199324.59999999998,198588.2337,396.3837000000349,1004.0378999999999,1011.85,1006.05,success
BAJAJ-AUTO,2018-01-01,3331.75,3340.95,gainer,3309.2,3315.8183999999997,197116.05,195633.28559999997,390.4855999999854,3302.5816,3345,3309.2,success
IBULHSGFIN,2018-01-01,1193,1196.6,gainer,1196.35,1198.7427,199832.19999999998,200190.0309,399.58090000002994,1193.9572999999998,1200.9,1196.35,success
LUPIN,2018-01-01,887.05,889.35,gainer,886.05,887.8221,199214.4,198872.15039999998,396.95040000000154,884.2778999999999,891.05,886.05,success
WIPRO,2018-01-01,312,310.6,loser,311.45,310.8271,199715.80000000002,199861.8253,400.52470000000903,312.0729,311.45,309.5,success
HINDALCO,2018-01-01,274.2,273.05,loser,274.45,273.9011,199872.6,200495.6052,401.7948000000033,274.9989,274.45,272.8,success
ICICIBANK,2018-01-01,314.25,313.6,loser,313.6,312.9728,199763.2,199363.6736,399.52640000000247,314.22720000000004,313.6,312.65,success
NTPC,2018-01-01,176.35,177,gainer,175.85,176.2017,199833.0,198931.7193,397.06930000000284,175.4983,177,175.85,success
INDUSINDBK,2018-01-01,1647.4,1652,gainer,1645,1648.29,199892.0,199443.09,398.0899999999965,1641.71,1652,1645,success
GAIL,2018-01-02,375.79,377.63,gainer,376.8,377.5536,199766.27,199725.8544,398.65439999999944,376.0464,378.87,376.8,success
RELIANCE,2018-01-02,909.5,913,gainer,913,914.826,199947.0,200346.894,399.89400000000023,911.174,915.85,913,success
COALINDIA,2018-01-02,266.95,268,gainer,268,268.536,199928.0,200327.856,399.85599999999977,267.464,268.7,268,success
IOC,2018-01-02,195.25,195.78,gainer,195.7,196.0914,199891.38,199410.0806,-399.61939999999595,195.30859999999998,195.93,195.3,failure
GRASIM,2018-01-02,1146.95,1149.9,gainer,1148.2,1150.4964,198932.7,199035.8772,397.27719999998226,1145.9036,1150.6,1148.2,success
SUNPHARMA,2018-01-02,574.5,576.6,gainer,576.6,577.7532,199503.6,199902.6072,399.00719999999274,575.4468,579.6,576.6,success
ITC,2018-01-02,261.8,262.85,gainer,262.85,263.37570000000005,199766.00000000003,200165.53200000004,399.5320000000065,262.3243,263.75,262.85,success
INFY,2018-01-02,1032.15,1037.25,gainer,1037.25,1039.3245,199152.0,199550.304,398.3040000000037,1035.1755,1041.75,1037.25,success
TATASTEEL,2018-01-02,721.8,724,gainer,723.8,725.2475999999999,199824.0,200168.33759999997,399.53759999998147,722.3524,729.65,723.8,success
BPCL,2018-01-02,509.3,511,gainer,510.3,511.3206,199801.0,199926.3546,399.054599999974,509.2794,512.25,510.3,success
POWERGRID,2018-01-02,200.45,201.25,gainer,200.7,201.10139999999998,199841.25,199693.69019999998,398.590200000006,200.2986,201.25,200.7,success
KOTAKBANK,2018-01-02,996.8,1001.15,gainer,999.05,1001.0481,199228.85,199208.57189999998,397.6218999999983,997.0518999999999,1002.4,999.05,success
CIPLA,2018-01-02,616.3,615,loser,618.95,617.7121000000001,199875.0,200756.43250000002,402.31750000000466,620.1879,618.95,615,success
BAJAJ-AUTO,2018-01-02,3290,3298.45,gainer,3280,3286.56,197907.0,197193.6,393.6000000000058,3273.44,3304.95,3280,success
IBULHSGFIN,2018-01-02,1217.5,1211.5,loser,1216.5,1214.067,199897.5,200321.055,401.445000000007,1218.933,1216.5,1211.5,success
UPL,2018-01-02,756,757.55,gainer,757.55,759.0650999999999,199993.19999999998,200393.18639999998,399.9863999999943,756.0349,760,757.55,success
ULTRACEMCO,2018-01-02,4265,4285.1,gainer,4269.95,4278.4899,197114.6,196810.5354,392.83540000001085,4261.4101,4300,4269.95,success
BAJFINANCE,2018-01-02,1729.55,1736,gainer,1727.2,1730.6544000000001,199640.0,199025.25600000002,397.25600000002305,1723.7456,1736,1727.2,success
INFRATEL,2018-01-02,369.95,371,gainer,370.25,370.9905,199969.0,199963.8795,399.12950000001,369.5095,372.15,370.25,success
NTPC,2018-01-02,176.5,176.95,gainer,176.55,176.90310000000002,199953.5,199900.50300000003,399.0030000000261,176.1969,177.15,176.55,success
INDUSINDBK,2018-01-02,1620.7,1628.4,gainer,1626.1,1629.3521999999998,198664.80000000002,198780.96839999998,396.76840000000084,1622.8478,1635.25,1626.1,success
