symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
HINDUNILVR,2018-07-16,1743.1,1748.95,gainer,1758.35,1765.3834,199380.30000000002,201253.7076,801.8076000000001,1751.3165999999999,1766,1758.35,success
ADANIPORTS,2018-07-16,369.65,370.95,gainer,368,369.472,199942.05,197558.592,-793.4079999999958,366.528,368.85,366.2,failure
HINDPETRO,2018-07-16,269.5,268.85,loser,266.55,265.48380000000003,199755.55000000002,197254.46340000004,792.1865999999573,267.6162,266.55,265.3,success
COALINDIA,2018-07-16,267.45,266.6,loser,267.35,266.28060000000005,199950.00000000003,199710.45000000004,802.0499999999884,268.4194,267.6,265.75,success
IOC,2018-07-16,159.5,158.7,loser,158.3,157.66680000000002,199962.0,198660.16800000003,797.8319999999658,158.9332,158.3,157.6,success
GRASIM,2018-07-16,934,937.05,gainer,923,926.692,199591.65,195812.604,-786.3960000000079,919.308,925.65,918,failure
MARUTI,2018-07-16,9399.55,9420.05,gainer,9399.9,9437.4996,197821.05,198187.49159999998,789.5915999999852,9362.3004,9449,9380,success
HDFC,2018-07-16,1974.8,1979.85,gainer,1988.55,1996.5041999999999,199964.84999999998,200040.1758,-803.3741999999911,1980.5958,1990,1979.55,failure
VEDL,2018-07-16,210.15,210.9,gainer,210.45,211.2918,199933.2,198708.57359999997,-798.0264000000025,209.60819999999998,210.8,209.15,failure
BHARTIARTL,2018-07-16,359,357.5,loser,357.6,356.1696,199842.5,200697.99360000002,-799.5935999999929,359.03040000000004,359.05,356.85,failure
TATASTEEL,2018-07-16,558.1,559.5,gainer,554.7,556.9188,199741.5,197235.78840000002,-792.1116000000038,552.4812000000001,556.4,552.1,failure
M&M,2018-07-16,907,904.95,loser,900.2,896.5992,199993.95,199739.97680000003,-795.7768000000215,903.8008000000001,904.8,897,failure
TCS,2018-07-16,1977.05,1986.95,gainer,1988.9,1996.8556,198695.0,198094.44,-795.5599999999977,1980.9444,1994,1978.35,failure
CIPLA,2018-07-16,627,629.4,gainer,628.2,630.7128,199519.8,198342.84240000002,-796.5576000000001,625.6872000000001,629.5,625.5,failure
EICHERMOT,2018-07-16,27480.2,27551.2,gainer,27531.45,27641.575800000002,192858.4,193491.03060000003,770.8806000000332,27421.3242,27650,27531,success
ONGC,2018-07-16,154.7,155.3,gainer,154.5,155.118,199871.1,199636.86599999998,795.36599999998,153.882,155.15,154.5,success
WIPRO,2018-07-16,280.5,279.3,loser,283.1,281.9676,199978.80000000002,201888.8016,810.7983999999997,284.23240000000004,283.3,281.15,success
