price,target_price,stop_loss,trans_type,quantity,order_id
385.75,1.54,2.31,buy,648,180807000040499
292.95,1.17,1.76,sell,853,180807000040795
310.7,1.24,1.86,buy,804,180807000041487
904.95,3.62,5.43,buy,276,180807000041902
960.4,3.84,5.76,buy,260,180807000042364
276.8,1.11,1.66,sell,903,180807000042757
581.0,2.32,3.49,buy,430,180807000043378
2121.45,8.49,12.73,buy,117,180807000043549
302.65,1.21,1.82,buy,826,180807000044034
1373.2,5.49,8.24,buy,182,180807000044532
224.65,0.9,1.35,buy,1112,180807000044636
2705.9,10.82,16.24,buy,92,180807000045139
