price,target_price,stop_loss,trans_type,quantity,order_idprice,target_price,stop_loss,trans_type,quantity,order_id
925.0,5.55,9.25,sell,540,180802000035518
292.6,1.76,2.93,sell,1708,180802000035925
1979.5,11.88,19.8,buy,252,180802000036661
1189.7,7.14,11.9,buy,420,180802000036950
2677.95,16.07,26.78,buy,186,180802000037463
276.6,1.66,2.77,sell,1807,180802000037606
576.25,3.46,5.76,buy,867,180802000038351
523.8,3.14,5.24,sell,954,180802000038641
262.3,1.57,2.62,sell,1906,180802000039079
364.15,2.18,3.64,buy,1373,180802000039275
154.6,0.93,1.55,sell,3234,180802000039991
