symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
ASIANPAINT,2018-01-01,1158.5,1163,gainer,1158.95,1163.5858,198873.0,198973.1718,792.7217999999993,1151.9963,1165,1155.5,success
SBIN,2018-01-01,309.9,310.6,gainer,311.1,312.3444,199715.80000000002,200837.4492,800.1491999999853,309.2334,312.45,310.75,success
ADANIPORTS,2018-01-01,405.65,406.7,gainer,404.3,405.91720000000004,199689.69999999998,197320.23220000003,-1191.0677999999898,401.87420000000003,405.4,401.65,failure
IOC,2018-01-01,194.28,195,gainer,194.65,195.42860000000002,199875.0,200314.31500000003,798.0650000000314,193.4821,195.5,194.58,success
TATAMOTORS,2018-01-01,431.85,430.95,loser,434.8,433.06080000000003,199960.8,200940.21120000002,806.9887999999919,437.40880000000004,434.8,432.75,success
INFY,2018-01-01,1042.05,1037.7,loser,1039.5,1035.342,199238.40000000002,198785.66400000002,798.3359999999811,1045.737,1044.5,1035.25,success
VEDL,2018-01-01,329.9,331,gainer,329.3,330.6172,199924.0,197703.8168,-1193.3832000000111,327.3242,330,327,failure
BHARTIARTL,2018-01-01,529.65,531,gainer,530.3,532.4212,199656.0,200190.3712,797.5712000000058,527.1182,532.45,530.3,success
LT,2018-01-01,1258.25,1261,gainer,1260.15,1265.1906000000001,199238.0,199900.1148,796.4147999999986,1252.5891000000001,1267.95,1260.15,success
LUPIN,2018-01-01,885.1,889.5,gainer,885.25,888.791,199248.0,199089.184,793.1840000000084,879.9385,888.8,882,success
BAJAJFINSV,2018-01-01,5230.4,5208,loser,5268,5246.928,197904.0,199383.264,800.7360000000044,5299.608,5268.5,5238.55,success
ULTRACEMCO,2018-01-01,4320.6,4302.2,loser,4296.15,4278.9654,197901.19999999998,196832.40840000001,790.4915999999794,4321.9268999999995,4304.05,4269,success
HINDALCO,2018-01-01,273.55,273,loser,273.75,272.655,199836.0,199583.46,801.5400000000081,275.3925,273.75,272.6,success
INFRATEL,2018-01-01,378.75,379.9,gainer,373.05,374.54220000000004,199827.4,195046.9542,-1177.34580000001,370.81170000000003,374.2,370.2,failure
ASIANPAINT,2018-01-02,1143.65,1146,gainer,1146.65,1151.2366000000002,199404.0,198319.99740000002,-1197.1025999999838,1139.7701000000002,1147.85,1139,failure
HINDPETRO,2018-01-02,413.75,415,gainer,413.6,415.25440000000003,199615.0,197747.9504,-1193.6496000000043,411.1184,414.5,411.05,failure
RELIANCE,2018-01-02,909.75,913,gainer,914.05,917.7062,199947.0,198975.8883,-1201.061699999991,908.5657,914.95,908.15,failure
AXISBANK,2018-01-02,565.5,567,gainer,565.05,567.3102,199584.0,199693.1904,795.5904000000155,561.6596999999999,568.05,564.25,success
IOC,2018-01-02,194.98,195.7,gainer,195.65,196.4326,199809.69999999998,198560.0981,-1198.5518999999913,194.4761,196.35,194.4,failure
GRASIM,2018-01-02,1143.95,1148.5,gainer,1150,1154.6,199839.0,198899.4,-1200.6000000000058,1143.1,1153.9,1141.6,failure
ZEEL,2018-01-02,579.2,581,gainer,581.15,583.4746,199864.0,200715.2624,799.6624000000011,577.6631,583.6,581.05,success
HDFCBANK,2018-01-02,1854.5,1858.55,gainer,1863.45,1870.9038,198864.85,200186.7066,797.5566000000108,1852.2693,1871,1860.65,success
MARUTI,2018-01-02,9651.9,9699,gainer,9694.5,9733.278,193980.0,192726.66,-1163.3399999999965,9636.333,9705,9632.6,failure
HDFC,2018-01-02,1683.75,1690,gainer,1691.8,1698.5672,199420.0,200430.9296,798.5296000000089,1681.6491999999998,1699,1686.55,success
