symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
HINDUNILVR,2018-07-16,1743.1,1748.95,gainer,1758.35,1763.6250499999996,199380.30000000002,201053.25569999995,601.3556999999564,1751.3165999999999,1766,1758.35,success
ADANIPORTS,2018-07-16,369.65,370.95,gainer,368,369.104,199942.05,197558.592,-793.4079999999958,366.528,368.85,366.2,failure
HINDPETRO,2018-07-16,269.5,268.85,loser,266.55,265.75035,199755.55000000002,197452.51005,594.1399499999825,267.6162,266.55,265.3,success
COALINDIA,2018-07-16,267.45,266.6,loser,267.35,266.54795,199950.00000000003,199910.96250000002,601.5375000000058,268.4194,267.6,265.75,success
IOC,2018-07-16,159.5,158.7,loser,158.3,157.82510000000002,199962.0,198859.62600000002,598.3739999999816,158.9332,158.3,157.8,success
GRASIM,2018-07-16,934,937.05,gainer,923,925.7689999999999,199591.65,195812.604,-786.3960000000079,919.308,925.65,918,failure
MARUTI,2018-07-16,9399.55,9420.05,gainer,9399.9,9428.099699999999,197821.05,197990.09369999997,592.1936999999743,9362.3004,9429,9399.9,success
HDFC,2018-07-16,1974.8,1979.85,gainer,1988.55,1994.5156499999998,199964.84999999998,200040.1758,-803.3741999999911,1980.5958,1990,1979.55,failure
VEDL,2018-07-16,210.15,210.9,gainer,210.45,211.08134999999996,199933.2,198708.57359999997,-798.0264000000025,209.60819999999998,210.8,209.15,failure
BHARTIARTL,2018-07-16,359,357.5,loser,357.6,356.5272,199842.5,200697.99360000002,-799.5935999999929,359.03040000000004,359.05,356.85,failure
TATASTEEL,2018-07-16,558.1,559.5,gainer,554.7,556.3641,199741.5,198621.9837,594.0836999999883,552.4812000000001,556.4,552.8,success
M&M,2018-07-16,907,904.95,loser,900.2,897.4994,199993.95,198347.36740000002,596.8325999999943,903.8008000000001,900.2,897,success
TCS,2018-07-16,1977.05,1986.95,gainer,1988.9,1994.8666999999998,198695.0,198094.44,-795.5599999999977,1980.9444,1994,1978.35,failure
CIPLA,2018-07-16,627,629.4,gainer,628.2,630.0846,199519.8,198342.84240000002,-796.5576000000001,625.6872000000001,629.5,625.5,failure
EICHERMOT,2018-07-16,27480.2,27551.2,gainer,27531.45,27614.044349999996,192858.4,193298.31045,578.1604499999958,27421.3242,27650,27531,success
ONGC,2018-07-16,154.7,155.3,gainer,154.5,154.96349999999998,199871.1,199438.02449999997,596.5244999999704,153.882,155.15,154.5,success
WIPRO,2018-07-16,280.5,279.3,loser,283.1,282.2507,199978.80000000002,202091.5012,608.098800000007,284.23240000000004,283.1,282.15,success
