symbol,date,previous_close,open,type,target_price,investment,return,profit,stop_loss_price,high,low,result
AXISBANK,2018-01-02,559.5,561.3,gainer,562.9839,199822.8,201638.4,1815.6000000000058,557.9322,566.4,565.05,success
COALINDIA,2018-01-02,270.05,271,gainer,271.813,199998.0,198116.1,-1881.8999999999942,269.374,268.85,268.45,failure
IOC,2018-01-02,193.2,193.95,gainer,194.53184999999996,199962.44999999998,202076.0,2113.5500000000175,192.78629999999998,196,195.65,success
TATASTEEL,2018-01-02,729.3,732,gainer,734.1959999999999,199836.0,198252.6,-1583.3999999999942,727.608,727.8,726.2,failure
M&M,2018-01-02,752.9,755.9,gainer,758.1676999999999,199557.6,197841.6,-1716.0,751.3646,755.25,749.4,failure
POWERGRID,2018-01-02,200.75,201.5,gainer,202.10449999999997,199888.0,198548.80000000002,-1339.1999999999825,200.291,201.8,200.15,failure
LUPIN,2018-01-02,875.15,878.7,gainer,881.3361,199464.90000000002,201178.75,1713.8499999999767,873.4278,886.25,885.25,success
TECHM,2018-01-02,513.95,516.1,gainer,517.6483,199730.7,195744.6,-3986.100000000006,513.0034,506.4,505.8,failure
NTPC,2018-01-02,178.9,179.5,gainer,180.03849999999997,199963.0,197345.1,-2617.899999999994,178.423,177.45,177.15,failure
