symbol,date,previous_close,open,type,trigger_price,target_price,investment,return,profit,stop_loss_price,high,low,result
AXISBANK,2016-01-05,438.4,439.9,gainer,438.65,439.9659499999999,199714.59999999998,197717.0,-1430.0999999999767,436.01809999999995,439.45,435.5,failure
IOC,2016-01-05,106.62,106.97,gainer,107.53,107.85258999999999,199926.93,201833.31,859.7399999999907,106.88482,107.99,107.2,success
ZEEL,2016-01-05,421.95,423.55,gainer,422.85,424.11854999999997,199915.6,200269.6,684.3999999999942,420.3129,424.3,422.6,success
KOTAKBANK,2016-01-05,705.3,708.1,gainer,708.65,710.7759499999999,199684.2,200487.90000000002,648.6000000000349,704.3981,710.95,708.55,success
HCLTECH,2016-01-05,845.95,848.95,gainer,846.6,849.1397999999999,199503.25,197599.75,-1351.25,841.5204,848.25,840.85,failure
BAJAJFINSV,2016-01-05,1959.5,1965.85,gainer,1966,1971.8979999999997,198550.84999999998,199242.7,676.7000000000116,1954.204,1972.7,1966,success
BAJFINANCE,2016-01-05,605.25,607.5,gainer,605.7,607.5171,199867.5,199999.1,723.7999999999884,602.0658000000001,607.9,605.57,success
POWERGRID,2016-01-06,139.15,138.6,loser,138.5,138.0845,199999.8,199206.15000000002,-649.3499999999767,139.331,138.6,138.05,success
BAJAJ-AUTO,2016-01-06,2502.35,2492.2,loser,2496,2488.512,199376.0,198504.0,-1176.0,2510.976,2496,2481.3,success
IBULHSGFIN,2016-01-06,733.4,736,gainer,734.2,736.4026,199456.0,200201.25,1233.0499999999884,729.7948,738.75,734.2,success
ASIANPAINT,2016-01-07,886.4,883,loser,889,886.333,199558.0,200236.0,-678.0,894.3340000000001,889,886,success
HINDUNILVR,2016-01-07,843.05,840,loser,833.95,831.44815,199920.0,197682.80000000002,-797.2999999999884,838.9537,833.95,830.6,success
COALINDIA,2016-01-07,327.9,326.8,loser,325.8,324.8226,199674.80000000002,198422.25,-641.5500000000175,327.7548,325.8,324.75,success
ITC,2016-01-07,210.07,209.2,loser,208.1,207.4757,199995.19999999998,198341.32,-602.2799999999988,209.3486,208.8,207.47,success
BHARTIARTL,2016-01-07,322.2,320.9,loser,319.75,318.79075,199920.69999999998,198581.25,-623.0,321.6685,319.75,318.75,success
BPCL,2016-01-07,304.1,305.29,gainer,302.6,303.5078,199964.95,199447.5,1244.499999999971,300.7844,304.5,302.6,success
TITAN,2016-01-07,347.85,346.7,loser,345.4,344.36379999999997,199699.19999999998,197712.0,-1238.3999999999942,347.4724,346.45,343.25,success
UPL,2016-01-07,443.35,441.5,loser,438.5,437.1845,199999.5,197870.4,-770.1000000000058,441.13100000000003,438.5,436.8,success
BAJAJFINSV,2016-01-07,1938.55,1946,gainer,1925.1,1930.8752999999997,198492.0,197268.0,907.8000000000175,1913.5493999999999,1934,1925.1,success
WIPRO,2016-01-07,277.55,276.5,loser,277.38,276.54786,199909.5,199909.5,-636.2399999999907,279.04428,278.73,276.5,success
NTPC,2016-01-07,141.45,140.9,loser,140.3,139.87910000000002,199937.1,198376.2,-709.5,141.14180000000002,140.3,139.8,success
HINDUNILVR,2016-01-12,811.75,808.5,loser,812.55,810.11235,199699.5,200070.0,-629.8499999999767,817.4253,812.55,810,success
RELIANCE,2016-01-12,525.8,527.5,gainer,524.98,526.55494,199922.5,200491.0,1523.5799999999872,521.83012,529,524.98,success
IOC,2016-01-12,110.73,111.1,gainer,111.67,112.00500999999998,199980.0,202050.0,1044.0,110.99998000000001,112.25,111.55,success
INDUSINDBK,2016-01-12,936.75,940,gainer,939.4,942.2181999999999,199280.0,197923.2,-1229.5999999999767,933.7636,941,933.6,failure
DRREDDY,2016-01-13,2923.25,2935,gainer,2934,2942.8019999999997,199580.0,200171.59999999998,659.5999999999767,2916.396,2943.7,2933.05,success
ZEEL,2016-01-13,407.05,408.4,gainer,411.55,412.78464999999994,199707.59999999998,202519.34999999998,1271.399999999965,409.08070000000004,414.15,411.55,success
WIPRO,2016-01-13,274.45,273.5,loser,275.43,274.60371,199928.5,200498.68,-840.6500000000233,277.08258,275.43,274.28,success
HINDUNILVR,2016-01-14,832.75,829.5,loser,825.7,823.2229000000001,199909.5,198355.05,-638.6500000000233,830.6542000000001,825.7,823.05,success
DRREDDY,2016-01-14,2890.95,2880,loser,2877,2868.369,198720.0,197547.0,-966.0,2894.262,2887,2863,success
HINDUNILVR,2016-01-19,809.95,813,gainer,812.15,814.5864499999999,199998.0,200416.2,627.3000000000175,807.2771,814.7,811.6,success
KOTAKBANK,2016-01-19,667.4,670.05,gainer,671,673.0129999999999,199674.9,200703.0,745.0,666.974,673.5,667.65,success
HINDPETRO,2016-01-20,183.2,182.49,loser,180.83,180.28751000000003,199826.55000000002,197297.1,-711.75,181.91498,180.83,180.18,success
